lokasi,tipe,bulan,tahun,nama,jabatan,level,photoUrl,lis,billingAmount,newSales
BRU,STO,sep,2022,Andi Kurniawan,Manajer STO BRU,BESAR,,2850,427500000,87
BAM,STO,sep,2022,Dewi Puspitasari,Kepala STO BAM,SEDANG,,1820,273000000,54
KRO,STO,sep,2022,Rudi Hermawan,Supervisor Akses,SEDANG,,1540,231000000,46
BTK,STO,sep,2022,Siti Nurhaliza,AM STO BTK,KECIL,,780,117000000,23
BTK,HERO,sep,2022,Fajar Nugroho,Koordinator HERO BTK,KECIL,,420,63000000,14
MKM,STO,sep,2022,Hendra Wijaya,Manajer STO MKM,BESAR,,3120,468000000,95
KJN,STO,sep,2022,Lestari Handayani,Kepala STO KJN,SEDANG,,1650,247500000,49
KJN,HERO,sep,2022,Budi Santoso,Koordinator HERO KJN,KECIL,,560,84000000,18
PTG,STO,sep,2022,Agus Prabowo,Supervisor Teknik,KECIL,,920,138000000,27
LAB,STO,sep,2022,Yuni Astuti,AM STO LAB,SEDANG,,1380,207000000,41
LIK,STO,sep,2022,Doni Setiawan,Manajer STO LIK,SEDANG,,1720,258000000,52
MGG,STO,sep,2022,Rina Marlina,Kepala STO MGG,KECIL,,850,127500000,25
MJW,STO,sep,2022,Bambang Susilo,Supervisor Akses,SEDANG,,1290,193500000,38
PNJ,STO,sep,2022,Novi Rahayu,AM STO PNJ,SEDANG,,1480,222000000,44
SKU,STO,sep,2022,Wahyu Prasetyo,Manajer STO SKU,BESAR,,2640,396000000,79
